twitter_id,party,twitter_name
773952818755538945,1,_ShowMeTheFacts
1088493443440009216,1,AbbottBaker5
204989127,1,abrahamgeorge
18382184,0,AdamParkhomenko
14731096,0,admiralmpj
133832049,0,AGBecerra
3290070855,0,AGLynch
183767243,0,AJCGlobal
989529922531201024,0,AlabamaPopulist
258245983,0,AlexRooker13
7334402,0,alfranken
1082265401717915650,0,alice_booher
52838571,0,allenrainwater
3537275536,1,AmbDennisRoss
1615463502,0,AmbPower44
34523410,1,AmericanCRs
85689484,1,AmodeiForNevada
734914091886600192,0,AmSolidarity
972600780137140224,0,AMurray2Serve
33537967,0,amyklobuchar
139606779,0,AndreaJPhillips
16702310,0,angelme
17856665,0,anthonyfoxx
964996994623311874,1,Armstrong_ND
1653330805,0,Ashildr082
129928278,0,AshtonCarter1
1855761260,1,AUCRs
234797704,1,AustinScottGA08
964370474703597573,1,Awaken_Negro
724982770963984384,1,BabetteMavroma2
241201438,0,Bakari_Sellers
1242040290,1,BankingGOP
813286,0,BarackObama
2923976429,0,barrossmith59
1056634891901767680,0,ben189999
82453460,0,BennieGThompson
1480852568,1,BenSasse
961595582165987328,0,berrymorespears
20873757,1,Besleybean
342863309,0,BetoORourke
516880804,0,BettyMcCollum04
55677432,1,BillCassidy
770597146152300544,0,Billi2011F
74508260,0,BillPascrell
3405605524,1,BillSheets1
25564023,0,birdieglad
1014270306507247616,0,BlakeMc97758575
937493450705924096,0,BlueWaveTsunami
743229394454446080,0,bob_lejeune
161791703,0,BobbyScott
15394954,1,boblatta
365922043,1,BorrowedSpace
30216513,0,BradSherman
939597366361055232,0,BrandyJForTexas
47747074,0,brianschatz
2828762322,0,BrianvonHelmsWI
980941320758988801,0,Brittan75653343
1046100237599821829,0,Brock_Fietzek
896857073278996481,1,BryanBraga_
2992440550,1,BudgetGOP
110899711,0,CA_Dem
15966258,1,CAGOP
305620929,0,Call_Me_Dutch
2853309155,1,carloslcurbelo
2281243921,0,carolfromindy
846438498454286336,1,CarolP1941
512572803,0,CarrolLewis1
4729875080,0,CathyJSnyder
17976923,1,cathymcmorris
38970940,0,CharlieCrist
4686667056,0,Chef2Chef4Best
14984637,0,chelliepingree
15324851,0,ChrisCoons
150078976,0,ChrisMurphyCT
1065388502970441728,0,ChrisRo27264624
125441928,0,ChrissieLynne1
18137749,0,ChrisVanHollen
10615232,1,ChuckGrassley
885360811815968768,0,Cindela_Oculary
262192574,1,cindyhydesmith
16160352,0,clairecmc
942582714871484417,0,clayforamerica
93330579,0,CnDelarosa
90754468,0,CognitiveCaveat
19824430,0,CollegeDems
115676070,0,collinpeterson
295685416,1,ConawayTX11
299883942,1,CongPalazzo
18967498,1,CongressmanGT
814179031956488192,0,CongressmanRaja
855240223432769538,0,ConorLambPA
1022263688,0,ControlPtGroup
15808765,0,CoryBooker
16177660,0,country_sh
71374488,1,cpklapper
17959210,1,CRFVirginia
27649741,0,CTDems
47549624,0,CTYoungDems
1074513692308443136,0,Cubbie242Chuck
1093319045997346816,0,cuck_leftist
49782398,0,curt_thompson
26057209,1,CurtisUT
29358264,0,CuyahogaDWC
19139963,1,DanaRohrabacher
2491513814,0,DanBlueNC
593360775,1,DannoActon
973648788115124224,0,DarbyPhillipps
22509548,1,DarrellIssa
18810140,0,darrensands
2279098645,1,DaveBratVA7th
510516465,0,daveloebsack
19936673,1,davetrott
317386234,1,DavidKustoff
1689734478,0,DavidMoon2014
14676022,0,dccc
39207632,1,DCRepublicans
812026450614321153,1,dean_zanotti
34715823,1,DebbieLesko
8370082,0,DemConvention
1021208979513454597,0,DemMaj4Israel
2786005869,0,DemocratManatee
26775504,0,DemsAbroad
880918346522398720,0,DemsOfState
890675418780618753,0,DemWomenCaucus
820830366713991168,0,DenisMcDonough
462410227,1,DentonRWC
235312723,1,DesJarlaisTN04
1089630154660372481,0,DFreed77
36676406,1,dgvaladao
2248472686,0,Dianedoh
378631423,0,DianneFeinstein
17907578,0,dinatitus
884908246359830528,1,DisabledGOP
1361816941,1,Dmaviv1Dmaviv
962167821848412160,0,DNCArmenians
465123413,0,DNCWomen
3122099613,0,DonaldNorcross
38254095,0,DorisMatsui
26005424,0,dragon8569
815952318487298048,1,DrNealDunnFL2
52503751,1,DrPhilRoe
2293097760,0,DrTimEustace
35129612,0,dsjj251
892244385550802944,0,dstrct101
115979444,0,DWStweets
985676885911916544,1,DylanTheFellow
